CNPJ;Nome;Site;Perfil;Código
03226533000184;AF INVEST ADMINISTRAÇÃO DE RECURSOS LTDA;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;21074.00-8
03230512000132;CREDIT SUISSE PROPRIO MARKET MAKER FI MULTIMERCADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;08303.00-8
03233070000188;PORTO SEGURO SOBERANO FI RF REFERENCIADO DI;;SEGMENTO BALCÃO;08214.00-1
03233076000155;PORTO SEGURO EMPRESARIAL RENDA FIXA FUNDO DE INVESTIMENTO CREDITO PRIVADO;;SEGMENTO BALCÃO;08193.00-5
03234384000103;UNIPRIME CAMPOS GERAIS COOPERATIVA DE CREDITO LTDA;;SEGMENTO BALCÃO;27453.00-1
03235396000144;SAINT MALO FIM CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;59608.00-6
03235471000177;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CLASSIC RENDA FIXA REF DI;;SEGMENTO BALCÃO;80628.00-0
03237583000167;COPAGAZ DISTRIBUIDORA DE GAS S.A.;;SEGMENTO BALCÃO;38312.40-9
03251466000158;TORONTO FIM CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;53088.00-0
03256737000168;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO PGBL - V15/20;;SEGMENTO BALCÃO;06913.00-5
03256752000106;BRADESCO FICFI MULTIMERCADO PGBL - V40/30;;SEGMENTO BALCÃO;49558.00-1
03256754000103;BRADESCO FICFI MULTIMERCADO PGBL - V30/30;;SEGMENTO BALCÃO;51778.00-6
03256787000145;BRADESCO  FI MULTIMERCADO MINING;;SEGMENTO BALCÃO;56298.00-0
03256788000190;FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO FFP MODERADO;;SEGMENTO BALCÃO;46748.00-3
03256793000100;BRADESCO FI REFERENCIADO DI FEDERAL EXTRA;;SEGMENTO BALCÃO;46728.00-9
03256797000180;BRADESCO FI EM COTAS DE FUNDO DE INVESTIMENTO RF PGBL - F 10;;SEGMENTO BALCÃO;59618.00-3
03257178000100;YOULE FILMES LTDA;;SEGMENTO BALCÃO;02884.44-4
03262205000133;BRASHOP S/A;;SEGMENTO BALCÃO;12584.41-1
03264927000127;MANAUS AMBIENTAL S.A.;;SEGMENTO BALCÃO;18755.40-2
03266407000153;TSM PRODUCOES LTDA;;SEGMENTO BALCÃO;00251.44-0
03269540000163;COOP. DE CRED. DOS SER. MIL. POLICIA CIVIL E DA SEC. DE ED. DO ESTADO DE MG LTDA SICOOB COOPEMG;;SEGMENTO BALCÃO;28579.00-1
03271093000187;SANTANDER FIC FI IX RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;57068.00-2
03271099000154;SANTANDER FIC FI VIII RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;53158.00-2
03273825000178;METLIFE PLANOS ODONTOLOGICOS LTDA;;SEGMENTO BALCÃO;18464.70-0
03276503000182;BRADESCO FIC DE FUNDO DE INVESTIMENTO MULTIMERCADO PGBL - V15/30;;SEGMENTO BALCÃO;51768.00-9
03279285000130;HAZTEC TECNOLOGIA E PLANEJAMENTO AMBIENTAL S.A;;SEGMENTO BALCÃO;12818.41-7
03288421000158;CARLOS GOMES FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;48898.00-9
03291445000166;SUL AMERICA INVESTIMENTO SMART FIF;;SEGMENTO BALCÃO;51968.00-5
03298200000160;BB RENDA FIXA LONGO PRAZO CORPORATE FIC FI CREDITO PRIVADO;;SEGMENTO BALCÃO;17720.00-5
03303563000147;PERSONAL FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;05923.00-3
03303568000170;JATOBA FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CREDITO PRIVADO;;SEGMENTO BALCÃO;12433.00-5
03303723000158;EXPLORER FIM CP IE;;SEGMENTO BALCÃO;34371.00-4
03303756000106;JADE FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;23047.00-2
03303999000136;DTCOM - DIRECT TO COMPANY S/A;;SEGMENTO BALCÃO;35839.41-1
03307621000100;SULAMERICA MIX 20 FI MULTIMERCADO;;SEGMENTO BALCÃO;06348.00-3
03307926000112;BRADO LOGISTICA S. A.;;SEGMENTO BALCÃO;16985.40-1
03311116000130;TCI BPO TECNOLOGIA CONHECIMENTO E INFORMACAO S/A;;SEGMENTO BALCÃO;12949.41-0
03311443000191;PARATI CREDITO FINANCIAMENTO E INVESTIMENTO S.A;;SEGMENTO BALCÃO;01696.00-4
03313643000183;FUNDO DE PENSAO MULTIPATROCINADO DA ORDEM DOS ADVOGADOS DO BRASIL - SECCIONAL MINAS GERAIS;;SEGMENTO BALCÃO;34826.70-0
03317692000194;FINAXIS CTVM S/A;www.finaxis.com.br;ADMINISTRADOR DE CLUBES;35
03317692000194;FINAXIS CTVM S/A;www.finaxis.com.br;PARTICIPANTE DE NEGOCIAÇÃO;35
03317692000194;FINAXIS CTVM S/A;www.finaxis.com.br;SEGMENTO BALCÃO;43352.00-7
03320525000100;COOPERATIVA DE CREDITO DO TRIANGULO MINEIRO E SAO FRANCISCO LTDA.  SICOOB ARACOOP;;SEGMENTO BALCÃO;16885.00-6
03322908000100;FIC DE FIM CREDITO PRIVADO FIC INDUS;;SEGMENTO BALCÃO;01213.00-9
03323840000183;BANCO ALFA S/A;;CUSTODIANTE BALCÃO;3444
03323840000183;BANCO ALFA S/A;;LIQUIDANTE;3444
03323840000183;BANCO ALFA S/A;;PARTICIPANTE DE BALCÃO;3444
03323840000183;BANCO ALFA S/A;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;02980.00-1
03326437000108;CCLA DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIAO MT/MS;;SEGMENTO BALCÃO;30224.00-7
03329124000103;UOL INC. S.A;;SEGMENTO BALCÃO;35869.43-6
03329154000110;CECM DOS SERVIDORES DO PODER LEGISLATIVO FEDERAL E DO DF SICOOB LEGISLATIVO;;SEGMENTO BALCÃO;29742.00-2
03347943000183;PETROPOLIS II FUNDO DE INVESTIMENTO FINANCEIRO;;SEGMENTO BALCÃO;53058.00-9
03356267000104;GPS PLANEJAMENTO FINANCEIRO LTDA;;GESTOR;20735
03356967000107;CAMPOS NOVOS ENERGIA S/A;;SEGMENTO BALCÃO;11818.41-8
03358914000117;CC DOS PROPRIETARIOS DA IND. DE ROCHAS ORNAMENTAIS CAL E CALCARIOS DO EST. DO ES-SICOOB CREDIROCHAS;;SEGMENTO BALCÃO;28308.00-7
03361090000134;PFIZER PREV SOCIEDADE DE PREVIDENCIA PRIVADA ;;SEGMENTO BALCÃO;19651.70-1
03364021000184;ITAU FLEXPREV FSA/TM MULTIMERCADO CREDITO PRIVADO FUNDO DE INVESTIMENTO;;SEGMENTO BALCÃO;57788.00-7
03364147000159;ITAU FLEXPREV PLUS V20 MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCÃO;47238.00-0
03364790000182;FEDERAL RF CURTO PRAZO FI;;SEGMENTO BALCÃO;55068.00-4
03365035000112;PEIXE MULTIMERCADO CREDITO PRIVADO FI;;SEGMENTO BALCÃO;05182.00-2
03366035000137;ITAU MIRANTE RENDA FIXA FUNDO DE INVESTIMENTO;;SEGMENTO BALCÃO;60268.00-2
03366545000104;ITAU FLEXPREV MASTER RENDA FIXA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCÃO;47298.00-2
03369951000120;ARIETIS RF  REFERENCIADO DI FI;;SEGMENTO BALCÃO;65968.00-8
03369970000157;AQUILA FUNDO DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;47228.00-3
03370003000105;ITAU INDEX ACOES IBOVESPA FUNDO DE INVESTIMENTO;;SEGMENTO BALCÃO;57018.00-7
03374369000152;UNIBANCO PREVER IV FIX 100 FIQ DE FI ESPECIALMENTE CONSTITUIDOS RENDA FIXA;;SEGMENTO BALCÃO;52688.00-9
03374465000109;ITAU FLEXPREV CORPORATE IV FICFI RENDA FIXA;;SEGMENTO BALCÃO;52678.00-2
03374487000160;ITAU FLEXPREV CORPORATE RV 15 FICFIM;;SEGMENTO BALCÃO;52698.00-6
03374499000195;UNIBANCO PREVER IV RV 30 FICFI ESPECIALMENTE CONSTITUIDOS MULTIMERCADO;;SEGMENTO BALCÃO;51328.00-9
03380763001507;REFRESCOS BANDEIRANTES INDUSTRIA E COMERCIO LTDA.;;SEGMENTO BALCÃO;24640.40-8
03381346000175;FUNDO DE INVESTIMENTO MULTIMERCADO PB SIENA CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;50958.00-9
03381358000108;VOKIN EVEREST FICFIM;;SEGMENTO BALCÃO;47978.00-9
03381437000100;CSHG CENTAURUS FICFI MULTIMERCADO CP IE;;SEGMENTO BALCÃO;92878.00-6
03382581000161;POLO DE IMAGEM;;SEGMENTO BALCÃO;39269.44-1
03384182000130;BTG PACTUAL ICATU SEG MODERADO FIQ FIM PREVIDENCIARIO;;SEGMENTO BALCÃO;64718.00-8
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;AGENTE DE CUSTÓDIA;21
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;CUSTODIANTE BALCÃO;21
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;ESCRITURADOR;3200
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;GESTOR;21
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;PARTICIPANTE DE BALCÃO;21
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;PARTICIPANTE DE NEGOCIAÇÃO PLENO;21
03384738000198;VOTORANTIM ASSET MANAGEMENT DTVM LTDA;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;06553.00-1
03385173000163;LEAOFILM CINEMA VIDEO E MARKETING LTDA;;SEGMENTO BALCÃO;00777.44-3
03386180000180;RIVIERA - FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;50938.00-5
03389374000139;BB TOP RF ARROJADO FI RENDA FIXA LONGO PRAZO;;SEGMENTO BALCÃO;46028.00-8
03391520000160;CHEMICAL TRUST S/A;;SEGMENTO BALCÃO;36019.41-2
03394711000186;BRADESCO FUNDO DE INVESTIMENTO EM ACOES IBOVESPA PLUS;;SEGMENTO BALCÃO;04803.00-7
03396639000126;SANTANDER FIC FI DIVIDENDOS ACOES;;SEGMENTO BALCÃO;49418.00-0
03398407000107;BRADESCO FIC FI MULTIMERCADO PGBL - V30/20;;SEGMENTO BALCÃO;54478.00-4
03399411000190;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI PREMIUM;;SEGMENTO BALCÃO;82578.00-0
03400651000167;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DA EMPRESA SUPERMERCADOS JAU SERVE - COOPERJS;;SEGMENTO BALCÃO;40427.00-7
03403181000195;INFINITY ASSET MANAG ADM DE RECURSOS LTDA;;GESTOR;4860
03403181000195;INFINITY ASSET MANAG ADM DE RECURSOS LTDA;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;37413.00-0
03409453000164;BRADESCO FIC FIM CRED PRIV IE FORTE;;SEGMENTO BALCÃO;09354.00-1
03410509000109;TRAIANUS S/A;;SEGMENTO BALCÃO;35509.41-1
03410855000189;CP CIMENTO E PARTICIPACOES S/A;;SEGMENTO BALCÃO;38769.41-6
03412878000122;COOPERATIVA DE CREDITO CREDIRAMA LTDA - SICOOB CREDIRAMA;;SEGMENTO BALCÃO;07294.00-8
03416010000109;ICATU VANGUARDA XXXIII FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCÃO;58368.00-0
03419786000174;COOPERATIVA DE CREDITO NOSSA SENHORA DO DESTERRO - SICOOB CREDISC;;SEGMENTO BALCÃO;28642.00-0
03420744000153;SUCESSO PRODUCOES CINEMATOGRAFICAS LTDA;;SEGMENTO BALCÃO;39019.44-0
03422594000117;BRASTURINVEST INVESTIMENTOS TURISTICOS S.A.;;SEGMENTO BALCÃO;11828.41-5
03422762000174;CLUBE XPRES DE INVESTIMENTOS;;SEGMENTO BALCÃO;41506.00-6
03424616000188;ITAU CIA SECURITIZADORA DE CREDITOS FINANCEIROS;;SEGMENTO BALCÃO;00526.00-3
03427097000101;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO SUL CATARINENSE - ACENTRA;;SEGMENTO BALCÃO;28073.00-2
03428338000137;SICREDI CREDUNI - CECM SERV INST PUB ENS SUP EST DA PB D INST E ORGAOS PUB NO EST DA PARAIBA LTDA;;SEGMENTO BALCÃO;28353.00-7
03438278000133;ITAUPREV MASTER RF F100 FICFI;;SEGMENTO BALCÃO;02213.00-8
03438284000190;ITAUPREV MASTER V40 MULTIMERCADO FICFI;;SEGMENTO BALCÃO;06702.00-3
03438288000179;ITAUPREV MASTER V10 MULTIMERCADO FICFI;;SEGMENTO BALCÃO;06669.00-5
03441485000147;SAFRA PREV SOBERANO FUNDO DE INVESTIMENTO RENDA FIXA PREVIDENCIARIO;;SEGMENTO BALCÃO;49448.00-1
03453981000110;AUFERVILLE TRUST S/A;;SEGMENTO BALCÃO;35649.41-2
03456053000100;AKAJU PRODUCOES ARTISTICAS S/C LTDA;;SEGMENTO BALCÃO;00051.44-4
03459850000140;COOPERATIVA DE CREDITO SICOOB METROPOLITANO;;SEGMENTO BALCÃO;04987.00-2
03460864000184;LAJEADO ENERGIA S.A.;;SEGMENTO BALCÃO;18029.40-6
03461243000115;COOPERATIVA DE CREDITO DO NORTE CATARINENSE - ACREDICOOP;;SEGMENTO BALCÃO;08012.00-7
03467321000199;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;;SEGMENTO BALCÃO;10286.41-2
03469379000171;ALFAPREV RF MODERADO FIC DE FI RENDA FIXA PREVIDENCIARIO;;SEGMENTO BALCÃO;50868.00-3
03469407000150;ALFAPREV MIX 25 FIC DE FI MULTIMERCADO PREVIDENCIARIO;;SEGMENTO BALCÃO;50888.00-7
03469422000107;ALFAPREV MIX 49 FIC DE FI MULTIMERCADO PREVIDENCIARIO;;SEGMENTO BALCÃO;50878.00-0
03469465000184;SANTA CLARA COMUNICACAO LTDA;;SEGMENTO BALCÃO;39079.44-2
03473193000196;BRADESCO FUNDO DE INVESTIMENTO EM ACOES INSTITUCIONAL IBRX ATIVO;;SEGMENTO BALCÃO;08270.00-7
03474058000165;CMM FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;08020.00-6
03485130000150;CCR E ECONOMIA COM INTERACAO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL-CRESOL ENCOSTAS DA SERRA GERAL;;SEGMENTO BALCÃO;29050.00-0
03497718000123;BONITO FI RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;59408.00-0
03497792000140;RODOVIAS INTEGRADAS DO OESTE S/A;;SEGMENTO BALCÃO;11872.41-6
03497804000136;SANTANDER FI INSTITUCIONAL RENDA FIXA MIRANTE;;SEGMENTO BALCÃO;59418.00-7
03499367000190;WESTERN ASSET RENDA FIXA ATIVO FI;;SEGMENTO BALCÃO;54218.00-6
03499625000138;ICATU SEG TOP C FIC FI RENDA FIXA;;SEGMENTO BALCÃO;52438.00-8
03502099000118;CHUBB SEGUROS BRASIL S.A.;;SEGMENTO BALCÃO;69219.71-5
03502131000165;COOPERATIVA CENTRAL DE CREDITO DO NORTE DO BRASIL-SICOOB NORTE;;SEGMENTO BALCÃO;03381.00-1
03502961000192;BCO PSA FINANCE BRASIL S A / SANT;;CUSTODIANTE BALCÃO;70052
03502961000192;BCO PSA FINANCE BRASIL S A / SANT;;PARTICIPANTE DE BALCÃO;70052
03502961000192;BCO PSA FINANCE BRASIL S A / SANT;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;70090.00-2
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;AGENTE DE CUSTÓDIA;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;CUSTODIANTE BALCÃO;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;LIQUIDANTE;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;MEMBRO DE COMPENSAÇÃO;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;PARTICIPANTE DE BALCÃO;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;PARTICIPANTE DE NEGOCIAÇÃO PLENO;3142
03502968000104;PI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;00097.00-6
03503382000164;BB MILENIO 1 FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCÃO;13759.00-1
03504010000152;BB RENDA FIXA REFERENCIADO DI LP MEGA FIC FI;;SEGMENTO BALCÃO;02455.00-0
03504023000121;BB TOP PRINCIPAL RF REFERENCIADO DI  LP FI;;SEGMENTO BALCÃO;52528.00-4
03507865000137;UNIBANCO PREVER I FIX 100 FIC DE FI ESPECIALMENTE CONSTITUIDOS RF;;SEGMENTO BALCÃO;54518.00-5
03507873000183;UNIBANCO PREVER I RV 30 FIQ DE FI ESPECIALMENTE CONSTITUIDOS MULTIMERCADO;;SEGMENTO BALCÃO;57758.00-6
03518730000177;GERACAO CONTEUDO LTDA;;SEGMENTO BALCÃO;02624.44-6
03519240000195;CC DOS INTEGRANTES DO PODER JUDICIARIO E DO MINISTERIO PUBLICO DO ESTADO DE MG LTDA. - SICOOB JUSMP;;SEGMENTO BALCÃO;28653.00-6
03519674000195;BB MILENIO 8 FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCÃO;81548.00-0
03519706000152;BB MILENIO 10 FI RENDA FIXA LONGO PRAZO;;SEGMENTO BALCÃO;67168.00-2
03522334000113;VENTOR INVESTIMENTOS LTDA;;GESTOR;4727
03522560000102;LEON FIM CP IE;;SEGMENTO BALCÃO;34380.00-2
03524814000113;FUNDO DE INVESTIMENTO EM ACOES ALVORADA;;SEGMENTO BALCÃO;09341.00-7
03528402000151;COOPERATIVA DE CREDITO E INVESTIMENTO DO ACRE  SICOOB ACRE;;SEGMENTO BALCÃO;36137.00-2
03532415000102;BANCO ABN AMRO S.A.;;AGENTE DE CUSTÓDIA;2786
03532415000102;BANCO ABN AMRO S.A.;;CUSTODIANTE BALCÃO;2786
03532415000102;BANCO ABN AMRO S.A.;;EMITENTE DE GARANTIAS;25002
03532415000102;BANCO ABN AMRO S.A.;;LIQUIDANTE;2786
03532415000102;BANCO ABN AMRO S.A.;;MEMBRO DE COMPENSAÇÃO;2786
03532415000102;BANCO ABN AMRO S.A.;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;2786
03532415000102;BANCO ABN AMRO S.A.;;PARTICIPANTE DE BALCÃO;2786
03532415000102;BANCO ABN AMRO S.A.;;PARTICIPANTE DE LIQUIDAÇÃO ;2786
03532415000102;BANCO ABN AMRO S.A.;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;52761.00-5
03534576000127;TRADITION FIM CP INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;86158.00-0
03534936000190;SANTANDER FICFI PREV FIX EXECUTIVO RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;62798.00-6
03534939000124;SANTANDER FICFI PREV AGRESSIVO SUPERIOR  MULTIMERCADO CREDITO PRIVADO;;SEGMENTO BALCÃO;63818.00-2
03535065000120;COOPERATIVA DE CREDITO - SICOOB CREDMETAL;;SEGMENTO BALCÃO;28927.00-0
03536912000170;CSHG VERDE AM MASTER FICFIM;;SEGMENTO BALCÃO;56448.00-1
03537355000102;BRASILPREV MULTIMERCADO DINAMICO I FIC FI;;SEGMENTO BALCÃO;62578.00-6
03537367000137;BRASILPREV MULTIMERCADO DINAMICO IV FIC FI;;SEGMENTO BALCÃO;65118.00-9
03537379000161;BRASILPREV RT FIX FICFI RENDA FIXA;;SEGMENTO BALCÃO;57478.00-1
03537384000174;BRASILPREV MULTIMERCADO DINAMICO V FIC FI;;SEGMENTO BALCÃO;65128.00-6
03537407000140;BRASILPREV RT FIX II FICFI RENDA FIXA;;SEGMENTO BALCÃO;62588.00-3
03537415000197;BRASILPREV MULTIMERCADO DINAMICO II FIC FI;;SEGMENTO BALCÃO;81618.00-2
03537456000183;ICATU VANGUARDA MULTIESTRATEGIA ARROJADO FIC DE FIM PREVIDENCIARIO;;SEGMENTO BALCÃO;54108.00-6
03537485000145;ICATU SEG COMPOSTO 20E FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;54178.00-5
03537494000136;ICATU SEG  MODERADO E FI EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA;;SEGMENTO BALCÃO;54158.00-1
03537505000188;ICATU SEG COMPOSTO 10E FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;54168.00-8
03540224000184;BRADESCO FIC FI MULTIMERCADO PGBL - V40/20;;SEGMENTO BALCÃO;54488.00-1
03543447000103;BB PREVIDENCIARIO RF IMA-B 5 LP FICFI;;SEGMENTO BALCÃO;52728.00-0
03545843000161;CARGILLPREV CD PREVIDENCIARIO MULTIMERCADO CREDITO PRIVADO FI;;SEGMENTO BALCÃO;58768.00-2
03546261000108;CARDIF DO BRASIL VIDA E PREVIDENCIA S/A;;SEGMENTO BALCÃO;68549.70-9
03546870000159;BRADESCO FI RENDA FIXA LONGO PRAZO ALFA;;SEGMENTO BALCÃO;54748.00-2
03549807000176;PADTEC S.A;;SEGMENTO BALCÃO;38485.40-8
03553305000119;BRADESCO FUNDO DE INVESTIMENTO EM RENDA FIXA RIVIERA;;SEGMENTO BALCÃO;56648.00-7
03553574000185;BRADESCO FI MULTIMERCADO TEAM;;SEGMENTO BALCÃO;57428.00-6
03555201000143;DGB LOGISTICA DISTRIBUICAO GEOGRAFICA DO BRASIL S.A.;;SEGMENTO BALCÃO;20759.40-3
03557198000105;ITAU CORP FEDERAL PLUS RF CURTO PRAZO - FICFI;;SEGMENTO BALCÃO;08599.00-1
03558096000104;SUL AMERICA CAPITALIZACAO S/A - SULACAP;;SEGMENTO BALCÃO;01112.70-8
03563229000122;SACRAMENTOASSESSORIA E PROJETOS LTDA;;SEGMENTO BALCÃO;02507.44-6
03564113000108;ATALAIA QUANT INSTITUCIONAL MULTIMERCADO FUNDO DE INVESTIMENTO;;SEGMENTO BALCÃO;52538.00-1
03564825000127;SICREDI FAPI COMPOSTO - FDO DE APOS.PROGR. INDIVIDUAL;;SEGMENTO BALCÃO;52968.00-4
03565131000104;SANTANDER FIC FI PREV RFA RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;59348.00-5
03565137000181;SANTANDER FIC FI PREV CMA MULTIMERCADO CREDITO PRIVADO;;SEGMENTO BALCÃO;59328.00-1
03565187000169;SANTANDER FIC FI PREV TOP SELECT MULTIMERCADO CP;;SEGMENTO BALCÃO;59308.00-7
03565192000171;SANTANDER FIC FI PREV RFB RENDA FIXA CREDITO PRIVADO;;SEGMENTO BALCÃO;59358.00-2
03565811000128;H3 COMPOSITE FIC FIM;;SEGMENTO BALCÃO;53288.00-6
03566655000110;COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO CELEIRO CENTRO OESTE-SICREDI CELEIRO CENTRO OESTE;;SEGMENTO BALCÃO;01935.00-2
03567283000146;ALPHA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;63258.00-2
03569139000149;ESTUDIOS MILENNIUM PRODUÇÕES ARTISTICAS LTDA;;SEGMENTO BALCÃO;39729.44-8
03572412000194;ALVORADA CIA SECURITIZADORA DE CREDITOS FINANCEIROS;;SEGMENTO BALCÃO;02966.00-1
03573324000298;BONASA ALIMENTOS S.A.;;SEGMENTO BALCÃO;17135.40-1
03573959000104;FUNDO DE INVESTIMENTO MULTIMERCADO KANSAS CREDITO PRIVADO;;SEGMENTO BALCÃO;81838.00-2
03574147000183;FI JACARANDA RENDA FIXA;;SEGMENTO BALCÃO;52558.00-5
03575699000106;CECM DOS MEDICOS E DEMAIS PROF DA AREA DA SAUDE DA REG DE RIBEIRAO PRETO  MEDCRED DE RIBEIRAO PRETO;;SEGMENTO BALCÃO;28217.00-2
03581989000162;COMPANHIA ENERGETICA DO JARI - CEJA;;SEGMENTO BALCÃO;18367.40-5
03583239000120;BRADESCO H FIC DE FIM AQUAMARINE;;SEGMENTO BALCÃO;07728.00-0
03584906000199;AGENCIA DE FOMENTO DO PARANA S/A;;SEGMENTO BALCÃO;07275.00-3
03585974000172;ZATIX TECNOLOGIA S/A.;;SEGMENTO BALCÃO;40492.40-3
03587889000143;PRIVATINVEST PARTICIPACOES S/A;;SEGMENTO BALCÃO;38719.43-5
03589068000146;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR - ANS;;SEGMENTO BALCÃO;63539.00-6
03589367000180;SAFRA PREVMODERADO FIC FI MULTIMERCADO PREVIDENCIARIO;;SEGMENTO BALCÃO;52928.00-6
03589391000110;SAFRA PREVFIX  GOLD FICFI  RENDA FIXA PREVIDENCIARIO;;SEGMENTO BALCÃO;52918.00-9
03593150000144;SAFRA EXECUTIVE CORPORATE RENDA FIXA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;;SEGMENTO BALCÃO;53478.00-5
03593195000119;SAFRA CAPITAL MARKET INSTITUCIONAL FICFI RF REFERENCIADO DI CP;;SEGMENTO BALCÃO;02172.00-8
03596908000106;ITAU FLEXPREV CORPORATE VII FIC FI RF;;SEGMENTO BALCÃO;58108.00-2
03596909000142;JUPITER FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;;SEGMENTO BALCÃO;93668.00-2
03597057000108;ITAU FLEXPREV CORPORATE RV 49 FICFIM;;SEGMENTO BALCÃO;61178.00-5
03597122000103;RESULT FUNDO DE INVESTIMENTO MULTIMERCADO INVESTIMENTO NO EXTERIOR CREDITO PRIVADO;;SEGMENTO BALCÃO;06150.00-2
03597388000148;BRADESCO FIM CRAFT;;SEGMENTO BALCÃO;57488.00-8
03600987000173;BRASILPREV RT FIX IV FICFI RENDA FIXA;;SEGMENTO BALCÃO;65148.00-0
03601000000135;BRASILPREV RT FIX III FICFI RENDA FIXA;;SEGMENTO BALCÃO;65138.00-3
03601017000192;BRASILPREV RT FIX V FICFI RENDA FIXA;;SEGMENTO BALCÃO;65278.00-4
03601022000103;BRASILPREV MULTIMERCADO DINAMICO III FIC FI;;SEGMENTO BALCÃO;65108.00-2
